Study ,TE,cr,dfr,picture,gender
UMD1,0.05,0.25,0.416666667,0.833333333,0.55
UMD1,-0.1,0.225,0.266666667,0.533333333,0.483333333
UMD1,-0.15,0.325,0.133333333,0.516666667,0.4
UMD1,0.1,0.425,0.566666667,0.816666667,0.733333333
UMD1,0.05,0.6,0.516666667,0.833333333,0.566666667
UMD1,0.05,0.425,0.316666667,0.916666667,0.7
UMD1,0.1,0.475,0.8,0.916666667,0.9
UMD1,0.05,0.35,0.466666667,0.966666667,0.716666667
UMD1,0.3,0.6,0.666666667,0.933333333,0.8
UMD1,0.2,0.425,0.533333333,0.9,0.666666667
UMD1,0.05,0.375,0.466666667,0.95,0.616666667
UMD1,0,0.3,0.55,0.933333333,0.55
UMD1,-0.05,0.375,0.5,0.933333333,0.566666667
UMD1,0,0.225,0.416666667,0.933333333,0.533333333
UMD1,-0.05,0.425,0.5,0.8,0.55
UMD1,0,0.5,0.616666667,0.95,0.566666667
UMD1,0.1,0.325,0.55,0.933333333,0.7
UMD1,0,0.175,0.483333333,0.816666667,0.433333333
UMD1,0,0.25,0.25,0.85,0.466666667
UMD1,-0.05,0.275,0.3,0.866666667,0.35
UMD1,0.25,0.6,0.533333333,0.45,0.533333333
UMD1,-0.1,0.725,0.55,0.95,
UMD1,0.15,0.425,0.5,0.9,0.6
UMD1,0.05,0.525,0.466666667,0.8,0.45
UMD1,0.35,0.625,0.7,0.933333333,0.833333333
UMD1,0.25,0.45,0.466666667,0.95,0.766666667
UMD1,0.15,0.45,0.783333333,0.866666667,0.666666667
UMD1,0.3,0.2,0.166666667,0.8,0.516666667
UMD1,0.05,0.55,0.45,0.933333333,0.816666667
UMD1,0.05,0.375,0.633333333,0.866666667,0.466666667
UMD1,0.15,0.4,0.5,0.966666667,0.633333333
UMD1,0.1,0.4,0.483333333,0.766666667,0.566666667
UMD1,0.15,0.275,0.383333333,0.733333333,0.533333333
UMD1,0.25,0.3,0.433333333,0.666666667,0.716666667
UMD1,0,0.55,0.616666667,0.916666667,0.55
UMD1,0,0.375,0.616666667,0.866666667,0.666666667
UMD1,-0.1,0.575,0.416666667,0.983333333,0.566666667
UMD1,0.15,0.525,0.5,0.8,0.616666667
UMD1,0.15,0.325,0.483333333,0.15,0.35
UMD1,0.05,0.125,0.45,0.566666667,0.6
UMD1,0,0.6,0.583333333,0.916666667,0.783333333
UMD1,0.15,0.425,0.433333333,0.95,0.516666667
UMD1,0.05,0.35,0.666666667,0.733333333,0.633333333
UMD1,0.05,0.6,0.55,0.816666667,0.833333333
UMD1,0.1,0.325,0.416666667,0.866666667,0.516666667
UMD1,0.25,0.2,0.716666667,0.333333333,0.716666667
UMD1,0.05,0.475,0.633333333,0.983333333,0.916666667
UMD1,0.15,0.6,0.6,0.966666667,0.55
UMD1,-0.15,0.275,0.283333333,0.766666667,0.55
UMD1,0.1,0.375,0.333333333,0.6,0.45
UMD1,-0.15,0.325,0.35,0.816666667,0.666666667
UMD1,0,0.775,0.733333333,0.966666667,0.966666667
UMD1,0.2,0.325,0.5,0.733333333,0.666666667
UMD1,-0.1,0.475,0.516666667,0.966666667,0.633333333
UMD1,0.15,0.475,0.583333333,0.9,0.616666667
UMD1,0.2,0.5,0.366666667,0.933333333,0.6
UMD1,0.2,0.45,0.3,0.6,0.3
UMD1,0.05,0.425,0.616666667,0.883333333,0.583333333
UMD1,-0.15,0.4,0.45,0.883333333,0.6
UMD1,0.05,0.325,0.55,0.416666667,0.9
UMD1,0,0.35,0.466666667,0.833333333,0.6
UMD1,0.2,0.225,0.45,0.8,
UMD1,0.1,0.075,0.533333333,0.883333333,0.783333333
UMD1,0.15,0.4,0.583333333,0.816666667,0.85
UMD1,0.3,0.475,0.666666667,0.9,0.716666667
UMD1,0.15,0.475,0.45,0.833333333,0.65
UMD1,0,0.2,0.45,0.666666667,0.716666667
UMD1,0.1,0.45,0.533333333,0.966666667,0.75
UMD1,0.25,0.5,0.516666667,0.8,0.6
UMD1,0,0.4,0.516666667,0.866666667,0.666666667
UMD1,0.25,0.325,0.45,0.766666667,0.583333333
UMD1,-0.05,0.475,0.416666667,0.95,0.783333333
UMD1,0.05,0.65,0.45,0.983333333,0.683333333
UMD1,0.25,0.375,0.55,0.866666667,0.766666667
UMD1,0.05,0.5,0.566666667,0.833333333,0.716666667
UMD1,0.05,0.475,0.483333333,0.866666667,0.683333333
UMD1,0.15,0.4,0.433333333,0.8,0.633333333
UMD1,-0.05,0.6,0.55,0.95,0.683333333
UMD1,0.05,0.5,0.4,0.8,0.65
UMD1,0.25,0.6,0.733333333,0.733333333,0.483333333
UMD1,0,0.2,0.65,0.916666667,0.766666667
UMD1,-0.05,0.3,0.566666667,0.616666667,0.5
UMD1,0.05,0.275,0.433333333,0.683333333,0.666666667
UMD1,0.4,0.575,0.5,0.933333333,0.683333333
UMD1,0.15,0.475,0.366666667,0.55,0.55
UMD1,0.3,0.275,0.416666667,0.616666667,0.7
UMD1,0.05,0.45,0.366666667,0.633333333,0.533333333
UMD1,-0.05,0.375,0.516666667,0.933333333,0.65
UMD1,0.25,0.425,0.35,0.9,0.6
UMD1,0,0.55,0.416666667,0.866666667,0.466666667
UMD1,-0.05,0.5,0.533333333,0.833333333,0.666666667
UMD1,-0.05,0.275,0.433333333,0.9,0.433333333
UMD1,0.15,0.5,0.583333333,0.85,0.566666667
UMD1,0.2,0.525,0.866666667,0.8,0.633333333
UMD1,0,0.45,0.566666667,0.5,0.716666667
UMD1,-0.05,0.475,0.416666667,0.966666667,0.916666667
UMD1,-0.05,0.4,0.583333333,0.866666667,0.6
UMD1,-0.15,0.35,0.616666667,0.716666667,0.733333333
UMD1,0.1,0.575,0.466666667,0.916666667,0.783333333
UMD1,0,0.5,0.6,0.766666667,0.4
UMD1,0.2,0.3,0.383333333,0.216666667,0.6
UMD1,-0.2,0.3,0.45,0.733333333,0.533333333
UMD1,0.35,0.425,0.383333333,0.716666667,0.616666667
UMD1,-0.15,0.35,0.583333333,0.816666667,0.733333333
UMD1,-0.05,0.975,0.883333333,0.8,0.75
UMD1,0.1,0.45,0.566666667,0.916666667,0.783333333
UMD1,-0.3,0.325,0.683333333,0.783333333,0.833333333
UMD1,0.15,0.175,0.15,0.1,0.216666667
UMD1,0.05,0.175,0.466666667,0.733333333,0.466666667
UMD1,0.15,0.3,0.45,0.533333333,0.3
UMD1,0,0.475,0.4,0.866666667,0.4
UMD1,0.25,0.25,0.316666667,0.633333333,0.5
UMD1,0.1,0.45,0.566666667,0.916666667,0.733333333
UMD1,0.25,0.275,0.25,0.8,0.333333333
UMD1,0.15,0.425,0.45,0.9,0.55
UMD1,0.1,0.35,0.616666667,0.933333333,0.633333333
UMD1,-0.1,0.4,0.633333333,0.466666667,0.416666667
UMD1,0,0.35,0.366666667,0.833333333,0.566666667
UMD1,0.05,0.475,0.483333333,0.716666667,0.733333333
UMD1,0.05,0.175,0.25,0.416666667,0.366666667
UMD1,-0.05,0.525,0.75,0.9,0.783333333
UMD1,0.15,0.475,0.466666667,0.833333333,0.733333333
UMD1,0.05,0.25,0.383333333,0.633333333,0.316666667
UMD1,0,0.6,0.6,0.9,0.766666667
UMD1,0.05,0.3,0.566666667,0.866666667,0
UMD1,0.05,0.675,0.5,0.95,0.65
UMD1,0.1,0.55,0.416666667,0.733333333,0.433333333
UMD1,0,0.45,0.45,0.966666667,0.783333333
UMD1,0.2,0.625,0.45,0.883333333,0.75
UMD1,0.1,0.325,0.366666667,0.966666667,0.716666667
UMD1,-0.05,0.2,0.633333333,0.5,0.466666667
UMD1,0.05,0.5,0.516666667,0.9,0.683333333
UMD1,0.1,0.35,0.5,0.783333333,0.616666667
UMD1,0.1,0.675,0.6,0.966666667,0.816666667
UMD1,0,0.25,0.466666667,0.933333333,0.783333333
UMD1,-0.3,0.35,0.466666667,0.75,0.433333333
UMD1,0.2,0.35,0.383333333,0.5,0.333333333
UMD1,-0.1,0.475,0.566666667,0.866666667,0.45
UMD1,0.2,0.575,0.6,0.7,0.783333333
UMD1,0.1,0.25,0.466666667,0.766666667,0.366666667
UMD1,0,0.4,0.45,0.85,0.566666667
UMD1,0.25,0.125,0.3,0.833333333,0.633333333
UMD1,0.2,0.35,0.466666667,0.966666667,0.55
UMD1,0.05,0.475,0.366666667,0.933333333,0.833333333
UMD1,0.1,0.15,0.416666667,0.483333333,0.45
UMD1,0.25,0.225,0.7,0.716666667,0.55
UMD1,0.25,0.375,0.433333333,0.95,0.55
UMD1,0.3,0.6,0.516666667,0.983333333,0.7
UMD1,-0.05,0.35,0.5,0.716666667,0.566666667
UMD1,0,0.125,0.566666667,0.866666667,0.466666667
UMD1,0,0.725,0.616666667,0.983333333,0.883333333
UMD1,0.1,0.725,0.5,0.85,0.883333333
UMD1,0.15,0.2,0.25,0.516666667,0.35
UMD1,0.05,0.425,0.583333333,0.9,0.766666667
UMD1,0,0.2,0.333333333,0.3,0.416666667
UMD1,0.05,0.55,0.716666667,0.95,0.766666667
UMD1,0.15,0.075,0.166666667,0.45,0.35
UMD1,0.15,0.3,0.516666667,0.716666667,0.516666667
UMD1,-0.05,0.4,0.4,0.966666667,0.55
UMD1,0.15,0.575,0.85,0.916666667,0.6
UMD1,0.15,0.625,0.666666667,0.983333333,0.783333333
UMD1,0.1,0.525,0.433333333,0.85,0.583333333
UMD1,-0.1,0.475,0.5,0.833333333,0.5
UMD1,0,0.675,0.75,0.9,0.466666667
UMD1,0.15,0.3,0.4,0.35,0.333333333
UMD1,0.15,0.775,0.616666667,0.95,0.866666667
UMD1,-0.05,0.45,0.383333333,0.816666667,0.633333333
UMD1,0.15,0.35,0.4,0.166666667,0.433333333
UMD1,0,0.525,0.516666667,0.633333333,0.65
UMD1,0.2,0.6,0.433333333,0.883333333,0.65
UMD1,-0.05,0.475,0.5,0.833333333,0.533333333
UMD1,-0.05,0.525,0.433333333,0.9,0.6
UMD1,0.1,0.175,0.266666667,0.716666667,0.166666667
UMD1,0.05,0.475,0.266666667,0.833333333,0.516666667
UMD1,0,0.45,0.483333333,0.95,0.55
UMD1,0.1,0.475,0.7,0.9,0.716666667
UMD1,0.1,0.575,0.533333333,0.833333333,0.6
UMD1,0.1,0.375,0.533333333,0.8,0.7
UMD1,0.1,0.225,0.483333333,0.866666667,0.566666667
UMD1,0.2,0.475,0.366666667,0.683333333,0.65
UMD1,0.05,0.325,0.516666667,0.816666667,0.566666667
UMD1,0.05,0.35,0.466666667,0.95,0.533333333
UMD1,0,0.35,0.55,0.916666667,0.533333333
UMD1,0.15,0.375,0.433333333,0.95,0.766666667
UMD1,0.1,0.275,0.466666667,0.85,0.333333333
UMD1,0.15,0.3,0.5,0.85,0.733333333
UMD1,0.1,0.3,0.466666667,0.633333333,0.616666667
UMD1,0.05,0.4,0.5,0.833333333,0.5
UMD1,0.2,0.25,0.3,0.683333333,0.383333333
UMD1,0.2,0.625,0.5,0.883333333,0.666666667
UMD1,-0.05,0.3,0.45,0.733333333,0.483333333
UMD1,0.25,0.7,0.616666667,0.966666667,0.683333333
UMD1,0.2,0.425,0.333333333,0.983333333,0.766666667
UMD1,0.1,0.175,0.3,0.7,0.433333333
UMD1,-0.05,0.8,0.65,0.966666667,0.85
UMD1,0.15,0.325,0.5,0.616666667,0.366666667
UMD1,-0.05,0.7,0.633333333,0.933333333,0.85
UMD1,0,0.425,0.616666667,0.983333333,0.816666667
UMD1,0.2,0.175,0.416666667,0.7,0.566666667
UMD1,-0.1,0.6,0.483333333,0.916666667,0.8
UMD1,0.05,0.4,0.616666667,0.75,0.433333333
UMD2,0.1,,,,
UMD2,0.1,,,,
UMD2,0.1,,,,
UMD2,-0.05,,,,
UMD2,-0.05,,,,
UMD2,0.05,,,,
UMD2,-0.05,,,,
UMD2,0.3,,,,
UMD2,0.15,,,,
UMD2,0.2,,,,
UMD2,-0.5,,,,
UMD2,-0.15,,,,
UMD2,-0.2,,,,
