"accession","length","genome_region","host","country","isolation","collection_date","release_date","name"
"KJ782549","4062","S","Homo sapiens","Greece","oronasopharynx","2014/04/18","2014/05/13","Middle East respiratory syndrome coronavirus strain Greece-Saudi Arabia_2014 S protein (S) gene, complete cds"
"KF811036","4062","S","Homo sapiens","Tunisia","blood","2013/05/08","2014/05/19","Middle East respiratory syndrome coronavirus strain Tunisia-Qatar_2013 spike protein gene, complete cds"
"KM027263","4062","S","Homo sapiens","Saudi Arabia","","2014","2014/11/12","Middle East respiratory syndrome coronavirus isolate Jeddah_C7058/KSA/2014 spike protein (S) gene, complete cds"
"KM027264","4062","S","Homo sapiens","Saudi Arabia","","2014","2014/11/12","Middle East respiratory syndrome coronavirus isolate Jeddah_C7209/KSA/2014 spike protein (S) gene, complete cds"
"KM027265","4062","S","Homo sapiens","Saudi Arabia","","2014","2014/11/12","Middle East respiratory syndrome coronavirus isolate Jeddah_C7311/KSA/2014 spike protein (S) gene, complete cds"
"KM027266","4062","S","Homo sapiens","Saudi Arabia","","2014","2014/11/12","Middle East respiratory syndrome coronavirus isolate Jeddah_C7312/KSA/2014 spike protein (S) gene, complete cds"
"KM027267","4062","S","Homo sapiens","Saudi Arabia","","2014","2014/11/12","Middle East respiratory syndrome coronavirus isolate Jeddah_C7319/KSA/2014 spike protein (S) gene, complete cds"
"KM027268","4062","S","Homo sapiens","Saudi Arabia","","2014","2014/11/12","Middle East respiratory syndrome coronavirus isolate Jeddah_C7554/KSA/2014 spike protein (S) gene, complete cds"
"KM027269","4062","S","Homo sapiens","Saudi Arabia","","2014","2014/11/12","Middle East respiratory syndrome coronavirus isolate Jeddah_C7720/KSA/2014 spike protein (S) gene, complete cds"
"KM027270","4062","S","Homo sapiens","Saudi Arabia","","2014","2014/11/12","Middle East respiratory syndrome coronavirus isolate Jeddah_C7773/KSA/2014 spike protein (S) gene, complete cds"
